,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,total_spending,total_income,adjusted_spending,overspending,savings_rate,financial_stress
162,23,Female,Junior,Economics,2203.2000000000003,2754.0,3890,747,282,140,53,35,38,67,75,181,Credit/Debit Card,5508,4957.200000000001,4957.200000000001,550.7999999999993,0.0,True
163,19,Non-binary,Senior,Biology,1932.8000000000002,2416.0,3162,559,196,137,89,46,60,249,134,200,Cash,4832,4348.8,4348.8,483.1999999999998,0.0,True
164,18,Female,Sophomore,Economics,2290.0,2862.5,3953,771,340,51,98,120,88,133,58,113,Cash,5725,5152.5,5152.5,572.5,0.0,True
165,19,Non-binary,Freshman,Engineering,2369.2000000000003,2961.5,4028,633,400,146,174,148,42,77,153,122,Cash,5923,5330.700000000001,5330.700000000001,592.2999999999993,0.0,True
166,23,Male,Sophomore,Biology,3089.2000000000003,3861.5,5911,631,385,160,112,34,32,225,173,60,Cash,7723,6950.700000000001,6950.700000000001,772.2999999999993,0.0,True
167,20,Male,Freshman,Psychology,2720.8,3401.0,5433,405,183,194,187,61,66,144,107,22,Cash,6802,6121.8,6121.8,680.1999999999998,0.0,True
168,19,Male,Freshman,Economics,2821.2000000000003,3526.5,4981,704,243,197,285,135,83,192,36,197,Credit/Debit Card,7053,6347.700000000001,6347.700000000001,705.2999999999993,0.0,True
169,24,Female,Freshman,Economics,2424.0,3030.0,4361,638,201,143,241,112,29,86,139,110,Cash,6060,5454.0,5454.0,606.0,0.0,True
170,21,Non-binary,Sophomore,Psychology,3222.4,4028.0,5893,960,199,124,278,115,48,193,178,68,Cash,8056,7250.4,7250.4,805.6000000000004,0.0,True
171,25,Female,Senior,Engineering,2316.4,2895.5,4249,517,104,64,259,131,66,234,63,104,Mobile Payment App,5791,5211.9,5211.9,579.1000000000004,0.0,True
172,19,Non-binary,Freshman,Psychology,2058.0,2572.5,3701,450,102,82,267,38,65,129,186,125,Mobile Payment App,5145,4630.5,4630.5,514.5,0.0,True
173,20,Male,Freshman,Psychology,2158.8,2698.5,3564,847,180,92,300,90,64,113,34,113,Mobile Payment App,5397,4857.3,4857.3,539.6999999999998,0.0,True
174,21,Non-binary,Junior,Biology,2253.2000000000003,2816.5,3424,991,348,181,86,134,70,175,40,184,Credit/Debit Card,5633,5069.700000000001,5069.700000000001,563.2999999999993,0.0,True
175,23,Male,Sophomore,Biology,2760.4,3450.5,4951,778,253,105,135,124,46,185,164,160,Cash,6901,6210.9,6210.9,690.1000000000004,0.0,True
176,18,Female,Junior,Engineering,1893.6000000000001,2367.0,3015,925,103,129,56,50,93,215,43,105,Mobile Payment App,4734,4260.6,4260.6,473.39999999999964,0.0,True
177,18,Male,Freshman,Economics,2558.8,3198.5,4653,683,362,185,90,79,91,91,99,64,Credit/Debit Card,6397,5757.3,5757.3,639.6999999999998,0.0,True
178,23,Non-binary,Senior,Economics,2339.6,2924.5,3756,734,394,192,109,80,73,247,69,195,Cash,5849,5264.1,5264.1,584.8999999999996,0.0,True
179,21,Male,Freshman,Engineering,2284.8,2856.0,4254,540,285,99,169,101,57,77,87,43,Cash,5712,5140.8,5140.8,571.1999999999998,0.0,True
180,25,Female,Junior,Engineering,2370.0,2962.5,3889,919,311,133,68,149,66,69,159,162,Mobile Payment App,5925,5332.5,5332.5,592.5,0.0,True
181,20,Female,Junior,Biology,1989.2,2486.5,3074,874,151,77,219,21,44,280,57,176,Mobile Payment App,4973,4475.7,4475.7,497.3000000000002,0.0,True
182,24,Female,Freshman,Economics,3170.4,3963.0,5998,617,311,79,264,35,73,254,131,164,Credit/Debit Card,7926,7133.4,7133.4,792.6000000000004,0.0,True
183,24,Non-binary,Junior,Economics,2414.0,3017.5,4056,568,336,186,159,82,89,251,166,142,Mobile Payment App,6035,5431.5,5431.5,603.5,0.0,True
184,22,Female,Senior,Biology,2280.4,2850.5,3542,834,360,64,289,48,86,226,132,120,Credit/Debit Card,5701,5130.9,5130.9,570.1000000000004,0.0,True
185,25,Female,Junior,Economics,2532.0,3165.0,4548,837,219,60,72,82,51,260,30,171,Mobile Payment App,6330,5697.0,5697.0,633.0,0.0,True
186,24,Female,Sophomore,Biology,2062.0,2577.5,3169,849,335,60,199,77,45,101,195,125,Credit/Debit Card,5155,4639.5,4639.5,515.5,0.0,True
187,23,Male,Sophomore,Economics,2758.0,3447.5,4645,943,305,156,240,123,53,290,77,63,Cash,6895,6205.5,6205.5,689.5,0.0,True
188,24,Non-binary,Senior,Engineering,2394.4,2993.0,4450,416,268,133,146,22,68,172,126,185,Cash,5986,5387.4,5387.4,598.6000000000004,0.0,True
189,22,Non-binary,Sophomore,Psychology,3034.4,3793.0,5756,717,159,195,196,138,26,154,160,85,Credit/Debit Card,7586,6827.4,6827.4,758.6000000000004,0.0,True
190,21,Male,Senior,Biology,2289.2000000000003,2861.5,3959,624,171,172,103,59,89,206,182,158,Mobile Payment App,5723,5150.700000000001,5150.700000000001,572.2999999999993,0.0,True
191,21,Non-binary,Sophomore,Biology,2248.0,2810.0,4078,670,108,56,129,26,66,272,64,151,Credit/Debit Card,5620,5058.0,5058.0,562.0,0.0,True
192,19,Male,Freshman,Economics,2400.4,3000.5,4103,845,255,89,136,110,85,183,85,110,Credit/Debit Card,6001,5400.9,5400.9,600.1000000000004,0.0,True
193,22,Female,Freshman,Computer Science,2589.2000000000003,3236.5,4316,953,153,179,229,105,66,184,151,137,Credit/Debit Card,6473,5825.700000000001,5825.700000000001,647.2999999999993,0.0,True
194,24,Male,Freshman,Computer Science,2537.2000000000003,3171.5,4075,875,310,197,201,91,83,224,186,101,Cash,6343,5708.700000000001,5708.700000000001,634.2999999999993,0.0,True
195,23,Female,Junior,Computer Science,2808.8,3511.0,5418,545,112,193,158,21,64,257,168,86,Cash,7022,6319.8,6319.8,702.1999999999998,0.0,True
196,20,Female,Junior,Psychology,2969.2000000000003,3711.5,5877,469,131,192,222,73,84,125,176,74,Cash,7423,6680.700000000001,6680.700000000001,742.2999999999993,0.0,True
197,21,Male,Freshman,Biology,2662.8,3328.5,4464,683,390,194,185,127,65,188,168,193,Credit/Debit Card,6657,5991.3,5991.3,665.6999999999998,0.0,True
198,24,Male,Senior,Biology,2101.2000000000003,2626.5,3043,927,347,167,151,114,35,206,94,169,Credit/Debit Card,5253,4727.700000000001,4727.700000000001,525.2999999999993,0.0,True
199,25,Female,Junior,Engineering,2658.0,3322.5,5070,633,164,94,147,123,25,236,116,37,Credit/Debit Card,6645,5980.5,5980.5,664.5,0.0,True
200,19,Non-binary,Freshman,Computer Science,2462.8,3078.5,4683,438,180,65,208,108,59,192,92,132,Cash,6157,5541.3,5541.3,615.6999999999998,0.0,True
201,24,Female,Senior,Economics,2835.6000000000004,3544.5,5293,701,323,97,196,93,62,170,90,64,Credit/Debit Card,7089,6380.1,6380.1,708.8999999999996,0.0,True
202,24,Male,Freshman,Computer Science,1954.8000000000002,2443.5,3012,759,113,181,62,99,81,226,155,199,Credit/Debit Card,4887,4398.3,4398.3,488.6999999999998,0.0,True
203,23,Female,Junior,Biology,2502.0,3127.5,4132,997,237,69,199,111,58,62,195,195,Credit/Debit Card,6255,5629.5,5629.5,625.5,0.0,True
204,24,Female,Senior,Economics,2163.6,2704.5,3234,858,249,157,292,132,94,278,66,49,Cash,5409,4868.1,4868.1,540.8999999999996,0.0,True
205,20,Female,Senior,Psychology,2330.0,2912.5,4004,453,366,121,287,71,65,207,129,122,Mobile Payment App,5825,5242.5,5242.5,582.5,0.0,True
206,24,Non-binary,Sophomore,Psychology,2188.4,2735.5,3939,587,147,126,160,117,85,98,69,143,Mobile Payment App,5471,4923.9,4923.9,547.1000000000004,0.0,True
207,19,Male,Senior,Psychology,1986.0,2482.5,3191,744,108,189,296,31,81,204,87,34,Cash,4965,4468.5,4468.5,496.5,0.0,True
208,18,Male,Sophomore,Computer Science,2731.6000000000004,3414.5,5188,746,173,147,113,139,29,103,73,118,Credit/Debit Card,6829,6146.1,6146.1,682.8999999999996,0.0,True
209,19,Non-binary,Junior,Psychology,1968.4,2460.5,3007,673,225,113,113,148,40,256,171,175,Cash,4921,4428.9,4428.9,492.10000000000036,0.0,True
210,18,Non-binary,Freshman,Psychology,2944.4,3680.5,5718,533,241,84,276,65,81,141,171,51,Credit/Debit Card,7361,6624.9,6624.9,736.1000000000004,0.0,True
211,21,Male,Junior,Biology,2100.8,2626.0,3712,567,291,94,86,141,97,55,165,44,Mobile Payment App,5252,4726.8,4726.8,525.1999999999998,0.0,True
212,25,Male,Sophomore,Biology,2646.0,3307.5,4865,533,207,123,70,104,76,256,189,192,Credit/Debit Card,6615,5953.5,5953.5,661.5,0.0,True
213,20,Female,Junior,Biology,2558.0,3197.5,4893,488,139,168,58,105,92,177,183,92,Credit/Debit Card,6395,5755.5,5755.5,639.5,0.0,True
214,24,Female,Senior,Economics,2376.0,2970.0,4885,487,143,54,79,74,53,77,66,22,Cash,5940,5346.0,5346.0,594.0,0.0,True
215,18,Non-binary,Junior,Economics,2810.8,3513.5,5312,937,307,77,71,21,52,127,46,77,Mobile Payment App,7027,6324.3,6324.3,702.6999999999998,0.0,True
216,21,Male,Junior,Computer Science,3022.0,3777.5,5866,607,396,189,125,76,80,59,79,78,Credit/Debit Card,7555,6799.5,6799.5,755.5,0.0,True
217,19,Female,Junior,Psychology,2040.4,2550.5,3282,654,182,108,288,147,38,92,182,128,Mobile Payment App,5101,4590.9,4590.9,510.10000000000036,0.0,True
218,25,Female,Sophomore,Computer Science,2781.6000000000004,3477.0,4898,982,157,162,159,30,76,225,99,166,Credit/Debit Card,6954,6258.6,6258.6,695.3999999999996,0.0,True
219,25,Non-binary,Sophomore,Economics,2954.4,3693.0,5318,846,206,108,284,70,23,220,169,142,Credit/Debit Card,7386,6647.4,6647.4,738.6000000000004,0.0,True
220,25,Female,Junior,Economics,2701.2000000000003,3376.5,5282,503,155,186,116,31,31,108,141,200,Mobile Payment App,6753,6077.700000000001,6077.700000000001,675.2999999999993,0.0,True
221,23,Male,Senior,Economics,2402.0,3002.5,4520,435,153,180,61,75,56,248,195,82,Mobile Payment App,6005,5404.5,5404.5,600.5,0.0,True
222,21,Male,Sophomore,Computer Science,2345.6,2932.0,4307,589,181,54,89,113,55,266,34,176,Credit/Debit Card,5864,5277.6,5277.6,586.3999999999996,0.0,True
223,24,Male,Sophomore,Computer Science,3188.0,3985.0,5997,806,374,86,229,78,31,139,153,77,Cash,7970,7173.0,7173.0,797.0,0.0,True
224,25,Non-binary,Freshman,Engineering,2935.2000000000003,3669.0,5306,942,324,73,271,107,77,92,80,66,Credit/Debit Card,7338,6604.200000000001,6604.200000000001,733.7999999999993,0.0,True
225,23,Male,Junior,Engineering,2042.4,2553.0,3066,936,265,52,121,46,85,292,128,115,Credit/Debit Card,5106,4595.4,4595.4,510.60000000000036,0.0,True
226,25,Non-binary,Sophomore,Economics,2258.0,2822.5,3709,938,206,180,112,82,45,165,110,98,Mobile Payment App,5645,5080.5,5080.5,564.5,0.0,True
227,22,Male,Sophomore,Economics,3089.6000000000004,3862.0,5420,967,391,112,196,43,71,294,91,139,Mobile Payment App,7724,6951.6,6951.6,772.3999999999996,0.0,True
228,21,Female,Senior,Psychology,2406.8,3008.5,4345,481,110,141,135,103,42,270,194,196,Credit/Debit Card,6017,5415.3,5415.3,601.6999999999998,0.0,True
229,22,Non-binary,Junior,Biology,2495.2000000000003,3119.0,4599,788,119,170,58,124,34,97,64,185,Credit/Debit Card,6238,5614.200000000001,5614.200000000001,623.7999999999993,0.0,True
230,18,Female,Sophomore,Biology,2774.4,3468.0,5152,559,340,62,226,42,72,244,197,42,Cash,6936,6242.4,6242.4,693.6000000000004,0.0,True
231,20,Male,Freshman,Economics,2029.6000000000001,2537.0,3535,689,213,127,69,116,50,143,81,51,Credit/Debit Card,5074,4566.6,4566.6,507.39999999999964,0.0,True
232,22,Female,Senior,Economics,1999.2,2499.0,3452,504,299,111,237,113,71,104,45,62,Cash,4998,4498.2,4498.2,499.8000000000002,0.0,True
233,22,Female,Junior,Computer Science,1994.4,2493.0,3180,777,196,102,212,98,75,192,48,106,Credit/Debit Card,4986,4487.4,4487.4,498.60000000000036,0.0,True
234,24,Non-binary,Junior,Engineering,3124.4,3905.5,5743,921,249,189,222,111,71,112,60,133,Credit/Debit Card,7811,7029.9,7029.9,781.1000000000004,0.0,True
235,24,Female,Junior,Economics,3312.6,3312.6,3527,795,308,106,74,126,23,299,111,152,Credit/Debit Card,5521,6625.2,5521.0,0.0,0.16666666666666666,False
236,21,Male,Sophomore,Computer Science,2316.8,2896.0,4079,505,186,176,217,70,81,194,193,91,Cash,5792,5212.8,5212.8,579.1999999999998,0.0,True
237,18,Non-binary,Senior,Psychology,2870.8,3588.5,5494,567,308,54,126,149,46,278,134,21,Credit/Debit Card,7177,6459.3,6459.3,717.6999999999998,0.0,True
238,25,Male,Sophomore,Economics,2101.6,2627.0,3647,500,341,123,198,85,73,208,58,21,Mobile Payment App,5254,4728.6,4728.6,525.3999999999996,0.0,True
239,25,Male,Senior,Computer Science,2099.6,2624.5,3489,676,219,61,198,99,95,178,46,188,Mobile Payment App,5249,4724.1,4724.1,524.8999999999996,0.0,True
240,24,Female,Sophomore,Psychology,2904.4,3630.5,5781,428,346,190,79,37,28,57,182,133,Mobile Payment App,7261,6534.9,6534.9,726.1000000000004,0.0,True
241,21,Non-binary,Freshman,Biology,2509.2000000000003,3136.5,4343,622,341,198,152,106,44,236,60,171,Cash,6273,5645.700000000001,5645.700000000001,627.2999999999993,0.0,True
242,22,Male,Junior,Computer Science,2729.6000000000004,3412.0,4960,917,100,53,102,98,66,228,124,176,Cash,6824,6141.6,6141.6,682.3999999999996,0.0,True
243,23,Non-binary,Sophomore,Psychology,2283.6,2854.5,3873,737,188,101,266,46,76,73,190,159,Cash,5709,5138.1,5138.1,570.8999999999996,0.0,True
244,20,Female,Junior,Engineering,2773.2000000000003,3466.5,5211,720,363,66,120,134,85,152,52,30,Cash,6933,6239.700000000001,6239.700000000001,693.2999999999993,0.0,True
245,24,Male,Junior,Biology,1974.8000000000002,2468.5,3153,891,226,55,95,46,58,284,41,88,Mobile Payment App,4937,4443.3,4443.3,493.6999999999998,0.0,True
246,19,Non-binary,Sophomore,Biology,2548.8,3186.0,4859,521,305,92,133,77,92,69,108,116,Mobile Payment App,6372,5734.8,5734.8,637.1999999999998,0.0,True
247,20,Non-binary,Freshman,Computer Science,2839.2000000000003,3549.0,5509,670,120,130,178,52,71,267,38,63,Mobile Payment App,7098,6388.200000000001,6388.200000000001,709.7999999999993,0.0,True
248,24,Non-binary,Senior,Computer Science,2656.8,3321.0,4706,538,374,183,243,80,74,246,152,46,Cash,6642,5977.8,5977.8,664.1999999999998,0.0,True
249,19,Male,Freshman,Psychology,2820.4,3525.5,5284,537,307,157,113,60,39,261,178,115,Mobile Payment App,7051,6345.9,6345.9,705.1000000000004,0.0,True
250,24,Non-binary,Junior,Biology,2436.8,3046.0,4353,460,358,95,219,27,61,178,173,168,Cash,6092,5482.8,5482.8,609.1999999999998,0.0,True
251,21,Female,Sophomore,Biology,2013.6000000000001,2517.0,3641,438,331,60,125,22,41,253,45,78,Mobile Payment App,5034,4530.6,4530.6,503.39999999999964,0.0,True
252,18,Female,Junior,Computer Science,2768.8,3461.0,5416,507,232,175,64,129,55,136,156,52,Credit/Debit Card,6922,6229.8,6229.8,692.1999999999998,0.0,True
253,20,Male,Junior,Computer Science,2199.6,2749.5,3920,760,237,104,122,28,82,115,75,56,Mobile Payment App,5499,4949.1,4949.1,549.8999999999996,0.0,True
254,21,Non-binary,Junior,Psychology,2231.6,2789.5,4255,447,101,125,267,119,58,76,37,94,Credit/Debit Card,5579,5021.1,5021.1,557.8999999999996,0.0,True
255,22,Non-binary,Freshman,Biology,2051.6,2564.5,3098,834,380,95,243,39,51,178,101,110,Credit/Debit Card,5129,4616.1,4616.1,512.8999999999996,0.0,True
256,18,Non-binary,Senior,Economics,2136.4,2670.5,3221,820,301,126,231,77,71,284,99,111,Credit/Debit Card,5341,4806.9,4806.9,534.1000000000004,0.0,True
257,19,Male,Freshman,Engineering,2788.4,3485.5,5170,872,133,86,177,73,63,198,167,32,Credit/Debit Card,6971,6273.9,6273.9,697.1000000000004,0.0,True
258,23,Male,Sophomore,Computer Science,3034.2,3034.2,3012,636,329,187,96,141,96,246,193,121,Cash,5057,6068.4,5057.0,0.0,0.16666666666666663,False
259,20,Female,Sophomore,Psychology,2815.2000000000003,3519.0,4912,761,350,177,256,61,73,206,63,179,Credit/Debit Card,7038,6334.200000000001,6334.200000000001,703.7999999999993,0.0,True
260,21,Non-binary,Sophomore,Engineering,2414.4,3018.0,4160,676,174,107,208,71,48,231,192,169,Mobile Payment App,6036,5432.4,5432.4,603.6000000000004,0.0,True
261,20,Male,Junior,Engineering,2448.4,3060.5,4231,961,212,60,287,57,31,80,162,40,Mobile Payment App,6121,5508.9,5508.9,612.1000000000004,0.0,True
262,24,Male,Junior,Computer Science,2726.4,3408.0,4930,853,134,115,197,107,73,256,117,34,Mobile Payment App,6816,6134.4,6134.4,681.6000000000004,0.0,True
263,21,Male,Freshman,Economics,2378.4,2973.0,3821,956,287,112,267,65,92,147,149,50,Mobile Payment App,5946,5351.4,5351.4,594.6000000000004,0.0,True
264,22,Male,Senior,Engineering,2294.4,2868.0,3809,970,124,97,271,96,81,110,136,42,Credit/Debit Card,5736,5162.4,5162.4,573.6000000000004,0.0,True
265,25,Female,Junior,Engineering,2780.8,3476.0,4771,903,291,100,292,108,55,217,164,51,Cash,6952,6256.8,6256.8,695.1999999999998,0.0,True
266,23,Male,Freshman,Engineering,2531.2000000000003,3164.0,4645,854,140,145,156,35,36,50,114,153,Mobile Payment App,6328,5695.200000000001,5695.200000000001,632.7999999999993,0.0,True
267,22,Female,Senior,Psychology,2267.2000000000003,2834.0,3568,785,338,144,298,91,64,173,98,109,Mobile Payment App,5668,5101.200000000001,5101.200000000001,566.7999999999993,0.0,True
268,19,Non-binary,Junior,Computer Science,3188.4,3985.5,5958,824,274,200,89,56,31,268,175,96,Mobile Payment App,7971,7173.9,7173.9,797.1000000000004,0.0,True
269,23,Non-binary,Senior,Computer Science,2198.8,2748.5,3665,946,114,143,211,92,20,83,113,110,Mobile Payment App,5497,4947.3,4947.3,549.6999999999998,0.0,True
270,20,Female,Freshman,Computer Science,2836.4,3545.5,5400,698,283,135,58,135,96,171,30,85,Credit/Debit Card,7091,6381.9,6381.9,709.1000000000004,0.0,True
271,24,Male,Junior,Biology,1885.6000000000001,2357.0,3565,483,259,63,53,57,43,65,40,86,Cash,4714,4242.6,4242.6,471.39999999999964,0.0,True
272,23,Non-binary,Senior,Biology,3045.2000000000003,3806.5,5535,1000,206,135,84,70,95,295,120,73,Cash,7613,6851.700000000001,6851.700000000001,761.2999999999993,0.0,True
273,21,Non-binary,Senior,Biology,2600.8,3251.0,4952,459,192,145,202,86,81,122,150,113,Cash,6502,5851.8,5851.8,650.1999999999998,0.0,True
274,22,Non-binary,Junior,Biology,1925.6000000000001,2407.0,3495,407,245,64,92,47,82,94,104,184,Mobile Payment App,4814,4332.6,4332.6,481.39999999999964,0.0,True
275,18,Non-binary,Senior,Computer Science,1966.0,2457.5,3535,468,171,104,93,75,22,74,191,182,Cash,4915,4423.5,4423.5,491.5,0.0,True
276,25,Non-binary,Sophomore,Psychology,4251.599999999999,4251.599999999999,5216,528,377,155,191,149,56,117,124,173,Credit/Debit Card,7086,8503.199999999999,7086.0,0.0,0.16666666666666655,False
277,18,Female,Freshman,Biology,2302.4,2878.0,3955,781,100,139,175,129,24,167,149,137,Credit/Debit Card,5756,5180.4,5180.4,575.6000000000004,0.0,True
278,25,Female,Sophomore,Psychology,2016.4,2520.5,3517,407,363,101,170,60,30,168,101,124,Mobile Payment App,5041,4536.9,4536.9,504.10000000000036,0.0,True
279,24,Female,Freshman,Engineering,3131.2000000000003,3914.0,5833,944,195,107,88,79,95,166,199,122,Credit/Debit Card,7828,7045.200000000001,7045.200000000001,782.7999999999993,0.0,True
280,20,Female,Senior,Computer Science,2118.4,2648.0,3343,919,100,142,266,77,60,103,199,87,Mobile Payment App,5296,4766.4,4766.4,529.6000000000004,0.0,True
281,20,Female,Junior,Biology,2124.4,2655.5,3610,811,152,91,234,82,33,171,96,31,Credit/Debit Card,5311,4779.9,4779.9,531.1000000000004,0.0,True
282,19,Female,Junior,Engineering,3200.0,4000.0,5969,840,365,104,134,64,98,201,57,168,Credit/Debit Card,8000,7200.0,7200.0,800.0,0.0,True
283,23,Male,Senior,Psychology,3004.0,3755.0,5456,773,349,178,79,135,78,200,135,127,Cash,7510,6759.0,6759.0,751.0,0.0,True
284,20,Female,Sophomore,Economics,2664.0,3330.0,5055,407,169,105,280,90,62,238,82,172,Cash,6660,5994.0,5994.0,666.0,0.0,True
285,18,Non-binary,Freshman,Economics,2697.6000000000004,3372.0,4710,921,101,187,122,130,38,246,96,193,Mobile Payment App,6744,6069.6,6069.6,674.3999999999996,0.0,True
286,22,Female,Freshman,Biology,3173.2000000000003,3966.5,5866,754,379,127,214,111,64,276,37,105,Cash,7933,7139.700000000001,7139.700000000001,793.2999999999993,0.0,True
287,23,Male,Junior,Psychology,2627.6000000000004,3284.5,5066,624,356,65,97,55,84,106,65,51,Mobile Payment App,6569,5912.1,5912.1,656.8999999999996,0.0,True
288,21,Non-binary,Sophomore,Biology,2526.8,3158.5,4012,880,270,200,230,121,97,248,102,157,Cash,6317,5685.3,5685.3,631.6999999999998,0.0,True
289,20,Male,Senior,Psychology,2195.2000000000003,2744.0,3705,448,318,114,186,129,85,215,188,100,Cash,5488,4939.200000000001,4939.200000000001,548.7999999999993,0.0,True
290,22,Non-binary,Senior,Engineering,2425.6,3032.0,4140,692,398,92,215,25,92,247,135,28,Mobile Payment App,6064,5457.6,5457.6,606.3999999999996,0.0,True
291,24,Female,Sophomore,Economics,1935.2,2419.0,3389,403,200,109,63,145,79,233,64,153,Mobile Payment App,4838,4354.2,4354.2,483.8000000000002,0.0,True
292,25,Female,Sophomore,Economics,2688.0,3360.0,4998,879,222,84,141,21,67,96,101,111,Credit/Debit Card,6720,6048.0,6048.0,672.0,0.0,True
293,25,Female,Freshman,Biology,3123.6000000000004,3904.5,5867,828,298,94,166,127,81,229,48,71,Credit/Debit Card,7809,7028.1,7028.1,780.8999999999996,0.0,True
294,20,Male,Senior,Psychology,2210.4,2763.0,3541,668,375,187,171,70,91,90,133,200,Cash,5526,4973.4,4973.4,552.6000000000004,0.0,True
295,19,Male,Sophomore,Psychology,2854.0,3567.5,5570,574,106,190,73,85,97,264,94,82,Mobile Payment App,7135,6421.5,6421.5,713.5,0.0,True
296,20,Female,Sophomore,Economics,1826.0,2282.5,3115,481,270,157,133,97,22,112,80,98,Credit/Debit Card,4565,4108.5,4108.5,456.5,0.0,True
297,18,Male,Freshman,Biology,2588.4,3235.5,4637,906,225,123,204,81,36,89,33,137,Credit/Debit Card,6471,5823.9,5823.9,647.1000000000004,0.0,True
298,24,Non-binary,Senior,Economics,2765.2000000000003,3456.5,5143,505,329,140,265,138,65,81,49,198,Credit/Debit Card,6913,6221.700000000001,6221.700000000001,691.2999999999993,0.0,True
299,22,Non-binary,Sophomore,Biology,2358.4,2948.0,4445,529,227,51,173,132,24,58,183,74,Mobile Payment App,5896,5306.4,5306.4,589.6000000000004,0.0,True
300,21,Non-binary,Senior,Economics,2364.0,2955.0,4114,417,308,178,152,142,90,286,84,139,Credit/Debit Card,5910,5319.0,5319.0,591.0,0.0,True
301,18,Male,Junior,Biology,2946.4,3683.0,5522,758,135,160,105,65,80,281,148,112,Cash,7366,6629.4,6629.4,736.6000000000004,0.0,True
302,25,Female,Freshman,Computer Science,2888.0,3610.0,5525,767,182,97,213,135,30,196,54,21,Mobile Payment App,7220,6498.0,6498.0,722.0,0.0,True
303,20,Male,Senior,Economics,2673.2000000000003,3341.5,5002,717,249,63,214,72,40,220,80,26,Mobile Payment App,6683,6014.700000000001,6014.700000000001,668.2999999999993,0.0,True
304,21,Male,Sophomore,Psychology,2230.8,2788.5,3708,810,364,90,119,32,67,91,146,150,Credit/Debit Card,5577,5019.3,5019.3,557.6999999999998,0.0,True
305,19,Female,Senior,Biology,2961.6000000000004,3702.0,5383,917,201,152,117,147,42,244,75,126,Credit/Debit Card,7404,6663.6,6663.6,740.3999999999996,0.0,True
306,21,Female,Sophomore,Engineering,2904.8,3631.0,5178,653,381,155,213,116,45,208,139,174,Credit/Debit Card,7262,6535.8,6535.8,726.1999999999998,0.0,True
307,21,Male,Senior,Psychology,3171.6000000000004,3964.5,5832,881,292,93,288,135,82,67,102,157,Mobile Payment App,7929,7136.1,7136.1,792.8999999999996,0.0,True
308,25,Male,Junior,Economics,2990.0,3737.5,5949,655,163,78,96,150,54,78,76,176,Cash,7475,6727.5,6727.5,747.5,0.0,True
309,25,Non-binary,Junior,Engineering,2241.2000000000003,2801.5,4044,615,319,93,108,46,96,184,61,37,Credit/Debit Card,5603,5042.700000000001,5042.700000000001,560.2999999999993,0.0,True
310,20,Non-binary,Senior,Engineering,1939.2,2424.0,3325,570,253,76,98,55,49,229,96,97,Cash,4848,4363.2,4363.2,484.8000000000002,0.0,True
311,25,Non-binary,Senior,Biology,1954.4,2443.0,3048,733,136,103,278,114,22,282,110,60,Credit/Debit Card,4886,4397.4,4397.4,488.60000000000036,0.0,True
312,24,Male,Junior,Computer Science,2764.4,3455.5,4884,857,340,166,147,34,32,298,115,38,Credit/Debit Card,6911,6219.9,6219.9,691.1000000000004,0.0,True
313,21,Male,Freshman,Engineering,2994.0,3742.5,5766,562,398,134,222,43,56,108,162,34,Mobile Payment App,7485,6736.5,6736.5,748.5,0.0,True
314,22,Female,Freshman,Psychology,2542.4,3178.0,4477,822,150,61,192,133,89,204,133,95,Mobile Payment App,6356,5720.4,5720.4,635.6000000000004,0.0,True
315,18,Non-binary,Sophomore,Biology,2482.4,3103.0,4171,859,194,139,246,102,65,93,185,152,Credit/Debit Card,6206,5585.4,5585.4,620.6000000000004,0.0,True
316,24,Female,Sophomore,Engineering,2265.6,2832.0,4126,454,226,132,114,117,72,158,133,132,Credit/Debit Card,5664,5097.6,5097.6,566.3999999999996,0.0,True
317,18,Male,Senior,Economics,2120.8,2651.0,3962,416,369,112,71,44,51,160,74,43,Mobile Payment App,5302,4771.8,4771.8,530.1999999999998,0.0,True
318,24,Female,Freshman,Biology,2763.6000000000004,3454.5,4823,976,295,153,86,107,36,143,118,172,Credit/Debit Card,6909,6218.1,6218.1,690.8999999999996,0.0,True
319,25,Male,Sophomore,Economics,2856.4,3570.5,5561,704,178,104,173,36,50,81,140,114,Credit/Debit Card,7141,6426.9,6426.9,714.1000000000004,0.0,True
320,19,Female,Freshman,Economics,2266.8,2833.5,4441,437,185,79,53,129,21,149,120,53,Cash,5667,5100.3,5100.3,566.6999999999998,0.0,True
321,20,Female,Freshman,Computer Science,3084.4,3855.5,5929,588,290,176,218,74,23,199,65,149,Mobile Payment App,7711,6939.9,6939.9,771.1000000000004,0.0,True
322,19,Female,Junior,Psychology,2673.6000000000004,3342.0,4533,809,268,131,237,96,88,289,113,120,Cash,6684,6015.6,6015.6,668.3999999999996,0.0,True
323,21,Female,Sophomore,Economics,2932.0,3665.0,5414,748,274,89,220,34,79,241,118,113,Mobile Payment App,7330,6597.0,6597.0,733.0,0.0,True
324,21,Non-binary,Freshman,Engineering,2748.4,3435.5,5292,509,245,113,70,101,47,297,156,41,Mobile Payment App,6871,6183.9,6183.9,687.1000000000004,0.0,True
325,18,Female,Freshman,Biology,2646.8,3308.5,4477,930,260,178,272,98,83,138,129,52,Credit/Debit Card,6617,5955.3,5955.3,661.6999999999998,0.0,True
